epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.606,2.17513,2.90955,1.91692,0.72649,0.69565,0.64782,0.22245,2.3179,1.42701,1.79552,0.000664865,0.000664865,0.000664865
2,261.238,2.09553,2.36603,1.89042,0.75446,0.67391,0.67426,0.28172,1.99647,1.35529,1.63951,0.00130517,0.00130517,0.00130517
3,386.666,2.0447,2.28559,1.85227,0.72193,0.65217,0.68999,0.22556,2.26124,1.31217,1.74045,0.00191907,0.00191907,0.00191907
4,511.159,1.97422,2.15005,1.80084,0.7749,0.67355,0.71281,0.2759,2.18092,1.29558,1.7119,0.0018812,0.0018812,0.0018812
5,635.951,1.91036,2.04744,1.73959,0.80545,0.67391,0.6946,0.22959,2.42512,1.15921,1.85322,0.0018416,0.0018416,0.0018416
6,760.663,1.88484,1.9937,1.74221,0.89838,0.57676,0.62771,0.19976,2.49015,1.19624,1.85117,0.001802,0.001802,0.001802
7,886.236,1.82599,1.86823,1.68107,0.80151,0.80435,0.82159,0.29999,2.17221,1.19995,1.66617,0.0017624,0.0017624,0.0017624
8,1010.5,1.80102,1.83131,1.67723,0.93879,0.66703,0.70314,0.27557,2.31616,0.98603,1.76022,0.0017228,0.0017228,0.0017228
9,1148.6,1.76388,1.77441,1.64105,0.68944,0.67568,0.65487,0.24469,2.34618,1.12245,1.79745,0.0016832,0.0016832,0.0016832
10,1274.17,1.74262,1.76573,1.64081,0.73741,0.65217,0.66145,0.23344,2.4246,1.09447,1.86137,0.0016436,0.0016436,0.0016436
11,1445.19,1.72235,1.70894,1.62116,0.62077,0.65217,0.62089,0.19778,2.61203,1.09663,1.96273,0.001604,0.001604,0.001604
12,1570.29,1.69956,1.67717,1.61451,0.72439,0.68577,0.70463,0.2375,2.35718,1.16757,1.80076,0.0015644,0.0015644,0.0015644
13,1694.75,1.66403,1.61146,1.56607,0.78206,0.56522,0.6194,0.21375,2.55516,1.05709,1.95172,0.0015248,0.0015248,0.0015248
14,1820.17,1.63633,1.57873,1.55474,0.82678,0.65217,0.69837,0.24047,2.47391,0.95748,1.82861,0.0014852,0.0014852,0.0014852
15,1945.42,1.60183,1.51178,1.53121,0.84436,0.70775,0.75119,0.31404,2.16961,0.95862,1.64694,0.0014456,0.0014456,0.0014456
16,2070.57,1.60119,1.52116,1.52083,0.83572,0.66368,0.75121,0.29945,2.35265,1.02014,1.72127,0.001406,0.001406,0.001406
17,2195.61,1.58729,1.49448,1.51544,0.87546,0.67391,0.74708,0.2771,2.35394,0.91525,1.77212,0.0013664,0.0013664,0.0013664
18,2320.25,1.56902,1.46225,1.50309,0.88637,0.67391,0.75908,0.33239,2.25431,0.85788,1.68017,0.0013268,0.0013268,0.0013268
19,2445.29,1.56102,1.46799,1.50582,0.85968,0.63043,0.65137,0.21524,2.58207,1.12125,2.03782,0.0012872,0.0012872,0.0012872
20,2569.81,1.53757,1.43768,1.48716,0.85932,0.66409,0.77166,0.29201,2.33085,0.97741,1.7384,0.0012476,0.0012476,0.0012476
21,2695.21,1.51298,1.39804,1.47336,0.82816,0.63043,0.67963,0.26579,2.51173,0.97837,1.95153,0.001208,0.001208,0.001208
22,2819.88,1.50836,1.39832,1.46605,0.79598,0.6087,0.64132,0.23928,2.44958,1.02867,1.79772,0.0011684,0.0011684,0.0011684
23,2945.6,1.49414,1.38182,1.45163,0.8405,0.71739,0.70652,0.25797,2.40602,0.98258,1.74754,0.0011288,0.0011288,0.0011288
24,3070.5,1.47782,1.35066,1.45248,0.92428,0.63043,0.72661,0.27501,2.44799,0.9557,1.83125,0.0010892,0.0010892,0.0010892
25,3245.95,1.4506,1.32188,1.43018,0.70625,0.73913,0.65063,0.24053,2.32064,1.03918,1.73689,0.0010496,0.0010496,0.0010496
26,3371.45,1.43393,1.29254,1.40948,0.92556,0.67391,0.7483,0.26287,2.45818,1.04768,1.82764,0.00101,0.00101,0.00101
27,3496.44,1.41115,1.29197,1.40726,0.81467,0.63043,0.65633,0.23952,2.54009,0.9934,1.93843,0.0009704,0.0009704,0.0009704
28,3621.54,1.39458,1.2542,1.39322,0.80866,0.76087,0.77463,0.26344,2.39699,1.03692,1.78032,0.0009308,0.0009308,0.0009308
29,3746.61,1.39094,1.25084,1.39599,0.83806,0.6087,0.67929,0.2605,2.38773,0.9881,1.8747,0.0008912,0.0008912,0.0008912
30,3871.39,1.37351,1.24473,1.37957,0.85112,0.65217,0.70616,0.25743,2.45044,0.99973,1.90909,0.0008516,0.0008516,0.0008516
31,4002.61,1.34783,1.20687,1.36445,0.8276,0.67391,0.71731,0.27877,2.33835,1.16593,1.72581,0.000812,0.000812,0.000812
32,4127.59,1.34075,1.20132,1.35611,0.84761,0.63043,0.73396,0.25552,2.38531,1.01126,1.85352,0.0007724,0.0007724,0.0007724
33,4265.83,1.34262,1.20116,1.35821,0.80274,0.65217,0.70458,0.26822,2.32513,1.04757,1.73341,0.0007328,0.0007328,0.0007328
34,4407.9,1.31208,1.16789,1.3337,0.84613,0.67391,0.75417,0.26993,2.48614,1.07531,1.86416,0.0006932,0.0006932,0.0006932
35,4550.77,1.30947,1.16692,1.34199,0.76796,0.63043,0.63698,0.2339,2.45361,1.04236,1.88713,0.0006536,0.0006536,0.0006536
36,4681.11,1.28463,1.15091,1.3257,0.75773,0.69565,0.6952,0.25639,2.3493,1.05634,1.76632,0.000614,0.000614,0.000614
37,4805.17,1.27228,1.13281,1.31768,0.7896,0.63043,0.67763,0.24643,2.44795,1.05396,1.91021,0.0005744,0.0005744,0.0005744
38,4929.26,1.25898,1.11568,1.30622,0.80768,0.65217,0.66959,0.26729,2.38131,1.13125,1.84259,0.0005348,0.0005348,0.0005348
39,5053.4,1.2478,1.09489,1.30366,0.77503,0.69565,0.68936,0.27225,2.33605,1.09683,1.79347,0.0004952,0.0004952,0.0004952
40,5180.12,1.23051,1.08493,1.28783,0.80036,0.71739,0.74309,0.29371,2.24277,1.09082,1.69334,0.0004556,0.0004556,0.0004556
41,5361.6,1.20718,1.04328,1.32198,0.81452,0.65217,0.69528,0.27003,2.26858,1.10439,1.71649,0.000416,0.000416,0.000416
42,5490.98,1.17744,0.99877,1.30964,0.76162,0.6946,0.71168,0.292,2.3479,1.17763,1.77892,0.0003764,0.0003764,0.0003764
43,5614.85,1.15593,0.97979,1.29437,0.77943,0.63043,0.66707,0.26357,2.41996,1.10069,1.86941,0.0003368,0.0003368,0.0003368
44,5738.97,1.13203,0.96622,1.27868,0.83376,0.67391,0.74761,0.30566,2.36752,1.08475,1.86537,0.0002972,0.0002972,0.0002972
45,5863.47,1.12393,0.94771,1.27147,0.83298,0.67391,0.76391,0.31056,2.33141,1.0808,1.82607,0.0002576,0.0002576,0.0002576
46,5987.15,1.09556,0.9288,1.25293,0.80912,0.65217,0.72079,0.29555,2.30422,1.11786,1.8017,0.000218,0.000218,0.000218
47,6110.91,1.08379,0.9179,1.24652,0.84059,0.69565,0.72516,0.3025,2.30124,1.15624,1.80267,0.0001784,0.0001784,0.0001784
48,6234.54,1.07577,0.90642,1.24159,0.83477,0.67391,0.76526,0.30103,2.34214,1.13958,1.84764,0.0001388,0.0001388,0.0001388
49,6357.91,1.05296,0.88555,1.22782,0.78651,0.67391,0.71924,0.28722,2.33207,1.16272,1.86486,9.92e-05,9.92e-05,9.92e-05
50,6482.13,1.04311,0.88042,1.22213,0.81199,0.67391,0.74248,0.30757,2.31304,1.13769,1.83147,5.96e-05,5.96e-05,5.96e-05
