epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7018,1.64808,3.01408,1.35225,0.00342,0.90909,0.18018,0.06578,1.45438,3.29263,1.10433,0.00042,0.00042,0.00042
2,96.8357,1.53664,1.70115,1.18496,0.00414,0.93182,0.04315,0.0247,1.51458,3.28393,1.18688,0.00077486,0.00077486,0.00077486
3,106.206,1.53797,1.5735,1.17724,0.91987,0.26135,0.62472,0.28166,1.6396,2.50701,1.27201,0.0010426,0.0010426,0.0010426
4,114.299,1.56235,1.48986,1.26647,0.58329,0.31812,0.39148,0.19646,1.70638,2.48001,1.30243,0.00122322,0.00122322,0.00122322
5,121.107,1.45619,1.35107,1.2385,0.76146,0.63636,0.70874,0.32966,1.72225,2.07096,1.42741,0.001208,0.001208,0.001208
6,127.429,1.47465,1.33563,1.24796,0.7768,0.79104,0.79422,0.35309,1.70859,1.60865,1.39983,0.00101,0.00101,0.00101
7,134.553,1.48636,1.2182,1.23904,0.85371,0.75,0.83351,0.45251,1.64309,1.30586,1.33377,0.000812,0.000812,0.000812
8,142.398,1.39956,1.12993,1.23312,0.94472,0.77694,0.89009,0.45515,1.6453,1.35014,1.29422,0.000614,0.000614,0.000614
9,149.876,1.31507,1.06886,1.16605,0.85727,0.81903,0.85539,0.44257,1.69601,1.3397,1.30395,0.000416,0.000416,0.000416
10,157.176,1.33351,1.02559,1.16072,0.92347,0.86364,0.91801,0.51601,1.47604,1.07106,1.20716,0.000218,0.000218,0.000218
